Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1803.7900064388211
FDW14,OUT017,1804.8433076190236
NCN55,OUT010,1800.5449331054297
FDQ58,OUT017,1809.1833673574172
FDY38,OUT027,1812.0562336088167
FDH56,OUT046,1792.736774653299
FDL48,OUT018,1792.7652198087271
FDC48,OUT027,1790.480352664334
FDN33,OUT045,1809.3663529792645
FDA36,OUT017,1800.6950397380363
FDT44,OUT017,1791.9967105088494
FDQ56,OUT045,1809.9362775773402
NCC54,OUT019,1805.3038173653576
FDU11,OUT049,1819.409371346877
DRL59,OUT013,1795.2611673077768
FDM24,OUT049,1814.7612010486985
FDI57,OUT045,1782.6087533907457
DRC12,OUT018,1807.1564153007341
NCM42,OUT027,1794.717391045033
FDA46,OUT010,1809.120149867772
FDA31,OUT013,1794.314557731988
NCJ31,OUT035,1823.651321334241
FDG52,OUT046,1785.8628496140154
NCL19,OUT019,1806.3588895615912
FDS10,OUT035,1783.3653308165544
FDX22,OUT010,1813.228035884196
NCF19,OUT035,1810.9758559574059
NCE06,OUT046,1784.9856509711833
DRC27,OUT046,1792.449973815089
FDE21,OUT035,1789.4296141837028
NCR42,OUT019,1785.3634647442
FDX51,OUT018,1801.0074862359745
NCR06,OUT018,1786.3915687091871
FDU31,OUT027,1800.0362341212638
FDU59,OUT017,1788.005899269121
FDR03,OUT027,1810.7727830579752
FDS49,OUT027,1799.1644565370484
FDD48,OUT010,1804.6687455322106
NCF18,OUT017,1798.2233824996083
NCD43,OUT027,1808.4358628912723
NCD54,OUT018,1800.9293376858527
FDY19,OUT010,1811.7695760498677
NCY54,OUT017,1797.6573936774532
NCL19,OUT018,1790.1204003965638
FDP23,OUT010,1820.9986105241046
FDC26,OUT013,1812.0370486364618
FDR14,OUT010,1812.8258473786311
NCS41,OUT035,1822.105232876832
FDF41,OUT035,1820.6979713463707
FDU34,OUT046,1796.9770698899038
DRH11,OUT046,1779.3803408568942
FDM03,OUT013,1809.9631396452144
FDS31,OUT017,1791.4044077249314
FDJ20,OUT017,1806.3810065471564
FDV44,OUT027,1793.1257296588901
FDG02,OUT049,1787.463923026814
FDA09,OUT013,1808.9879922662403
FDT04,OUT013,1787.807988578089
FDL58,OUT019,1792.0823864839203
FDE52,OUT045,1815.2423568851068
FDW12,OUT035,1796.6689686328864
FDL51,OUT017,1799.2740851733693
NCY42,OUT027,1810.975152372253
FDR07,OUT017,1806.070809534237
FDN40,OUT045,1789.2400963534233
FDB35,OUT027,1792.717657774221
FDA22,OUT017,1782.2056842750387
NCL06,OUT046,1799.0005610215628
FDI35,OUT013,1806.3955249873065
NCW42,OUT045,1802.6821847098747
NCX06,OUT049,1800.0648321504575
FDC37,OUT027,1804.8100890877975
FDZ14,OUT018,1780.4185607294057
DRG49,OUT049,1798.5669095450671
NCG06,OUT045,1783.2019646836663
DRC36,OUT045,1790.4792645208975
FDV21,OUT019,1795.051148659598
FDB53,OUT046,1808.5540238789436
DRP47,OUT019,1813.3293326817843
FDA14,OUT013,1800.643415363998
DRC24,OUT035,1810.4927485716528
FDW21,OUT018,1793.139737185087
NCH29,OUT046,1787.2208011299692
FDU58,OUT013,1809.1303737447188
FDY27,OUT017,1804.9554679269359
FDV56,OUT035,1811.056908051343
FDT59,OUT046,1793.5671342752685
FDB23,OUT046,1800.5072018376536
FDR49,OUT045,1789.0918632777443
FDB03,OUT010,1788.061263845416
FDN39,OUT045,1794.6245088411079
FDX02,OUT027,1801.2181604981831
FDQ16,OUT027,1807.0011218696843
FDU35,OUT018,1790.077201012671
NCT29,OUT013,1795.6930005631739
FDZ27,OUT046,1781.4510735343335
FDN57,OUT017,1780.4238146619093
FDA03,OUT018,1790.1419383304867
FDZ36,OUT045,1820.9628641000697
NCU05,OUT013,1811.4955672233473
FDT39,OUT018,1786.2856386295714
FDK60,OUT017,1795.2649509801702
FDZ25,OUT017,1795.1205950837832
FDG12,OUT046,1791.2301163245145
DRB01,OUT019,1798.925599888405
NCC43,OUT027,1796.938645584208
FDX13,OUT019,1807.988023324933
FDM22,OUT049,1805.1232713058646
FDJ03,OUT027,1809.5212617028233
FDU14,OUT018,1810.7037784192778
FDB33,OUT010,1795.4196204291734
FDP27,OUT046,1797.747368988188
FDO38,OUT010,1817.9635285813822
FDE28,OUT027,1823.136473464152
FDO27,OUT035,1821.0233563152965
DRL23,OUT027,1804.267493060571
FDS28,OUT046,1794.3774076107147
FDX24,OUT013,1808.4917714633214
FDZ02,OUT035,1798.4657255728184
FDL46,OUT045,1808.1242373260452
FDS60,OUT027,1790.2299948275424
NCO06,OUT017,1810.742120824527
FDO16,OUT035,1808.7478954791638
FDC60,OUT049,1790.0053581422574
FDA48,OUT018,1818.5408456489517
FDZ36,OUT027,1805.0433985870907
FDK27,OUT045,1798.6320517740419
FDW23,OUT018,1785.5180771216792
FDM14,OUT018,1790.6227814044169
FDM14,OUT013,1800.63303264166
FDW60,OUT018,1783.9754293247563
FDE21,OUT013,1813.9932173707662
NCM42,OUT035,1813.175243937758
FDY59,OUT010,1806.3574169199794
DRI49,OUT049,1818.227267402934
